,caucus,congress_numbers,current,description,district,enddate,extra__address,extra__contact_form,extra__fax,extra__how,extra__office,extra__rss_url,id,leadership_title,party,person__bioguideid,person__birthday,person__cspanid,person__firstname,person__gender,person__gender_label,person__id,person__lastname,person__link,person__middlename,person__name,person__namemod,person__nickname,person__osid,person__pvsid,person__sortname,person__twitterid,person__youtubeid,phone,role_type,role_type_label,senator_class,senator_class_label,senator_rank,senator_rank_label,startdate,state,title,title_long,website
80,,"[115, 116, 117]",True,Senior Senator from Oregon,,2023-01-03,221 Dirksen Senate Office Building Washington DC 20510,,,,221 Dirksen Senate Office Building,http://www.wyden.senate.gov/rss/feeds/?type=all&amp;,43806,,Democrat,W000779,1949-05-03,1962.0,Ron,male,Male,300100,Wyden,https://www.govtrack.us/congress/members/ron_wyden/300100,,Sen. Ron Wyden [D-OR],,,N00007724,27036.0,"Wyden, Ron (Sen.) [D-OR]",RonWyden,senronwyden,202-224-5244,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,OR,Sen.,Senator,https://www.wyden.senate.gov
81,,[115],True,Representative for Alabama's 4th congressional district,4.0,2019-01-03,235 Cannon HOB; Washington DC 20515-0104,,,,235 Cannon House Office Building,http://aderholt.house.gov/common/rss//index.cfm?rss=20,43807,,Republican,A000055,1965-07-22,45516.0,Robert,male,Male,400004,Aderholt,https://www.govtrack.us/congress/members/robert_aderholt/400004,B.,Rep. Robert Aderholt [R-AL4],,,N00003028,441.0,"Aderholt, Robert (Rep.) [R-AL4]",Robert_Aderholt,RobertAderholt,202-225-4876,representative,Representative,,,,,2017-01-03,AL,Rep.,Representative,https://aderholt.house.gov
82,,[115],True,Representative for Texas's 6th congressional district,6.0,2019-01-03,2107 Rayburn HOB; Washington DC 20515-4306,,,,2107 Rayburn House Office Building,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,43808,,Republican,B000213,1949-09-15,5248.0,Joe,male,Male,400018,Barton,https://www.govtrack.us/congress/members/joe_barton/400018,Linus,Rep. Joe Barton [R-TX6],,,N00005656,27082.0,"Barton, Joe (Rep.) [R-TX6]",RepJoeBarton,repjoebarton,202-225-2002,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,https://joebarton.house.gov
83,,[115],True,Representative for California's 34th congressional district,34.0,2019-01-03,1226 Longworth HOB; Washington DC 20515-0534,,,,1226 Longworth House Office Building,http://becerra.house.gov/index.php?format=feed&amp;type=rss,43809,,Democrat,B000287,1958-01-26,26567.0,Xavier,male,Male,400021,Becerra,https://www.govtrack.us/congress/members/xavier_becerra/400021,,Rep. Xavier Becerra [D-CA34],,,N00009774,26754.0,"Becerra, Xavier (Rep.) [D-CA34]",RepBecerra,XavierBecerra,202-225-6235,representative,Representative,,,,,2017-01-03,CA,Rep.,Representative,https://becerra.house.gov
84,,[115],True,Representative for Utah's 1st congressional district,1.0,2019-01-03,123 Cannon HOB; Washington DC 20515-4401,,,,123 Cannon House Office Building,http://robbishop.house.gov/news/rss.aspx,43810,,Republican,B001250,1951-07-13,1003621.0,Rob,male,Male,400029,Bishop,https://www.govtrack.us/congress/members/rob_bishop/400029,,Rep. Rob Bishop [R-UT1],,,N00025292,50544.0,"Bishop, Rob (Rep.) [R-UT1]",RepRobBishop,CongressmanBishop,202-225-0453,representative,Representative,,,,,2017-01-03,UT,Rep.,Representative,http://robbishop.house.gov
85,,[115],True,Representative for Georgia's 2nd congressional district,2.0,2019-01-03,2407 Rayburn HOB; Washington DC 20515-1002,,,,2407 Rayburn House Office Building,http://bishop.house.gov/rss.xml,43811,,Democrat,B000490,1947-02-04,26194.0,Sanford,male,Male,400030,Bishop,https://www.govtrack.us/congress/members/sanford_bishop/400030,D.,Rep. Sanford Bishop [D-GA2],Jr.,,N00002674,26817.0,"Bishop, Sanford (Rep.) [D-GA2]",SanfordBishop,RepSanfordBishop,202-225-3631,representative,Representative,,,,,2017-01-03,GA,Rep.,Representative,http://bishop.house.gov
86,,[115],True,Representative for Tennessee's 7th congressional district,7.0,2019-01-03,2266 Rayburn HOB; Washington DC 20515-4207,,,,2266 Rayburn House Office Building,http://blackburn.house.gov/news/rss.aspx,43812,,Republican,B001243,1952-06-06,31226.0,Marsha,female,Female,400032,Blackburn,https://www.govtrack.us/congress/members/marsha_blackburn/400032,W.,Rep. Marsha Blackburn [R-TN7],,,N00003105,25186.0,"Blackburn, Marsha (Rep.) [R-TN7]",MarshaBlackburn,RepMarshaBlackburn,202-225-2811,representative,Representative,,,,,2017-01-03,TN,Rep.,Representative,http://blackburn.house.gov
87,,[115],True,Representative for Oregon's 3rd congressional district,3.0,2019-01-03,1111 Longworth HOB; Washington DC 20515-3703,,,,1111 Longworth House Office Building,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,43813,,Democrat,B000574,1948-08-16,43809.0,Earl,male,Male,400033,Blumenauer,https://www.govtrack.us/congress/members/earl_blumenauer/400033,,Rep. Earl Blumenauer [D-OR3],,,N00007727,367.0,"Blumenauer, Earl (Rep.) [D-OR3]",BlumenauerMedia,RepBlumenauer,202-225-4811,representative,Representative,,,,,2017-01-03,OR,Rep.,Representative,https://blumenauer.house.gov
88,,"[115, 116, 117]",True,Junior Senator from Missouri,,2023-01-03,260 Russell Senate Office Building Washington DC 20510,,,,260 Russell Senate Office Building,http://www.blunt.senate.gov/public/?a=rss.feed,43814,,Republican,B000575,1950-01-10,45465.0,Roy,male,Male,400034,Blunt,https://www.govtrack.us/congress/members/roy_blunt/400034,,Sen. Roy Blunt [R-MO],,,N00005195,418.0,"Blunt, Roy (Sen.) [R-MO]",RoyBlunt,SenatorBlunt,202-224-5721,senator,Senator,class3,Class 3,junior,Junior,2017-01-03,MO,Sen.,Senator,http://www.blunt.senate.gov/public
89,,"[115, 116, 117]",True,Senior Senator from Arkansas,,2023-01-03,141 Hart Senate Office Building Washington DC 20510,,,,141 Hart Senate Office Building,http://www.boozman.senate.gov/public/index.cfm/rss/feed,43815,,Republican,B001236,1950-12-10,92069.0,John,male,Male,400040,Boozman,https://www.govtrack.us/congress/members/john_boozman/400040,,Sen. John Boozman [R-AR],,,N00013873,27958.0,"Boozman, John (Sen.) [R-AR]",JohnBoozman,BoozmanPressOffice,202-224-4843,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,AR,Sen.,Senator,https://www.boozman.senate.gov/public/index.cfm/home
90,,[115],True,Delegate for Guam,0.0,2019-01-03,2441 Rayburn HOB; Washington DC 20515-5301,,,,2441 Rayburn House Office Building,http://bordallo.house.gov/rss.xml,43816,,Democrat,B001245,1933-05-31,1003568.0,Madeleine,female,Female,400041,Bordallo,https://www.govtrack.us/congress/members/madeleine_bordallo/400041,Z.,Rep. Madeleine Bordallo [D-GU0],,,N00024866,1751.0,"Bordallo, Madeleine (Rep.) [D-GU0]",,,202-225-1188,representative,Representative,,,,,2017-01-03,GU,Rep.,Delegate,https://bordallo.house.gov
91,,[115],True,Representative for Texas's 8th congressional district,8.0,2019-01-03,1011 Longworth HOB; Washington DC 20515-4308,,,,1011 Longworth House Office Building,http://kevinbrady.house.gov/common/rss/index.cfm?rss=49,43817,,Republican,B000755,1955-04-11,45749.0,Kevin,male,Male,400046,Brady,https://www.govtrack.us/congress/members/kevin_brady/400046,P.,Rep. Kevin Brady [R-TX8],,,N00005883,361.0,"Brady, Kevin (Rep.) [R-TX8]",RepKevinBrady,KBrady8,202-225-4901,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,http://kevinbrady.house.gov
92,,[115],True,Representative for Pennsylvania's 1st congressional district,1.0,2019-01-03,2004 Rayburn HOB; Washington DC 20515-3801,,,,2004 Rayburn House Office Building,http://brady.house.gov/rss.xml,43818,,Democrat,B001227,1945-04-07,55227.0,Robert,male,Male,400047,Brady,https://www.govtrack.us/congress/members/robert_brady/400047,Alan,Rep. Robert Brady [D-PA1],,,N00001619,2519.0,"Brady, Robert (Rep.) [D-PA1]",RepBrady,BradyPA01,202-225-4731,representative,Representative,,,,,2017-01-03,PA,Rep.,Representative,http://brady.house.gov
93,,[115],True,Representative for Texas's 26th congressional district,26.0,2019-01-03,2336 Rayburn HOB; Washington DC 20515-4326,,,,2336 Rayburn House Office Building,http://burgess.house.gov/news/rss.aspx,43819,,Republican,B001248,1950-12-23,1003620.0,Michael,male,Male,400052,Burgess,https://www.govtrack.us/congress/members/michael_burgess/400052,C.,Rep. Michael Burgess [R-TX26],,,N00025219,50120.0,"Burgess, Michael (Rep.) [R-TX26]",MichaelCBurgess,michaelcburgessmd,202-225-7772,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,http://burgess.house.gov
94,,"[115, 116, 117]",True,Senior Senator from North Carolina,,2023-01-03,217 Russell Senate Office Building Washington DC 20510,,,,217 Russell Senate Office Building,http://www.burr.senate.gov/public/index.cfm?fuseaction=rss.feed,43820,,Republican,B001135,1955-11-30,31054.0,Richard,male,Male,400054,Burr,https://www.govtrack.us/congress/members/richard_burr/400054,M.,Sen. Richard Burr [R-NC],,,N00002221,21787.0,"Burr, Richard (Sen.) [R-NC]",SenatorBurr,SenatorRichardBurr,202-224-3154,senator,Senator,class3,Class 3,senior,Senior,2017-01-03,NC,Sen.,Senator,http://www.burr.senate.gov
95,,[115],True,Representative for California's 42nd congressional district,42.0,2019-01-03,2205 Rayburn HOB; Washington DC 20515-0542,,,,2205 Rayburn House Office Building,http://calvert.house.gov/news/rss.aspx,43821,,Republican,C000059,1953-06-08,26709.0,Ken,male,Male,400057,Calvert,https://www.govtrack.us/congress/members/ken_calvert/400057,S.,Rep. Ken Calvert [R-CA42],,,N00007099,26777.0,"Calvert, Ken (Rep.) [R-CA42]",KenCalvert,RepKenCalvert,202-225-1986,representative,Representative,,,,,2017-01-03,CA,Rep.,Representative,http://calvert.house.gov
96,,[115],True,Representative for Massachusetts's 7th congressional district,7.0,2019-01-03,1414 Longworth HOB; Washington DC 20515-2107,,,,1414 Longworth House Office Building,,43822,,Democrat,C001037,1952-01-09,56760.0,Michael,male,Male,400063,Capuano,https://www.govtrack.us/congress/members/michael_capuano/400063,E.,Rep. Michael Capuano [D-MA7],,,N00000267,18883.0,"Capuano, Michael (Rep.) [D-MA7]",RepMikeCapuano,RepMikeCapuano,202-225-5111,representative,Representative,,,,,2017-01-03,MA,Rep.,Representative,http://capuano.house.gov
97,,[115],True,Representative for Texas's 31st congressional district,31.0,2019-01-03,2110 Rayburn HOB; Washington DC 20515-4331,,,,2110 Rayburn House Office Building,http://carter.house.gov/common/rss/?rss=40,43823,,Republican,C001051,1941-11-06,1004257.0,John,male,Male,400068,Carter,https://www.govtrack.us/congress/members/john_carter/400068,R.,Rep. John Carter [R-TX31],,,N00025095,49296.0,"Carter, John (Rep.) [R-TX31]",JudgeCarter,repjohncarter,202-225-3864,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,https://carter.house.gov
98,,[115],True,Representative for Ohio's 1st congressional district,1.0,2019-01-03,2371 Rayburn HOB; Washington DC 20515-3501,,,,2371 Rayburn House Office Building,http://chabot.house.gov/common/rss/index.cfm?rss=49,43824,,Republican,C000266,1953-01-22,36705.0,Steve,male,Male,400071,Chabot,https://www.govtrack.us/congress/members/steve_chabot/400071,J.,Rep. Steve Chabot [R-OH1],,,N00003689,21790.0,"Chabot, Steve (Rep.) [R-OH1]",RepSteveChabot,congressmanchabot,202-225-2216,representative,Representative,,,,,2017-01-03,OH,Rep.,Representative,http://chabot.house.gov
99,,[115],True,Representative for Missouri's 1st congressional district,1.0,2019-01-03,2428 Rayburn HOB; Washington DC 20515-2501,,,,2428 Rayburn House Office Building,,43825,,Democrat,C001049,1956-07-27,88332.0,Wm.,male,Male,400074,Clay,https://www.govtrack.us/congress/members/lacy_clay/400074,Lacy,Rep. Lacy Clay [D-MO1],Jr.,,N00012460,8967.0,"Clay, Lacy (Rep.) [D-MO1]",,WilliamLacyClay,202-225-2406,representative,Representative,,,,,2017-01-03,MO,Rep.,Representative,https://lacyclay.house.gov
100,,[115],True,Representative for South Carolina's 6th congressional district,6.0,2019-01-03,242 Cannon HOB; Washington DC 20515-4006,,,,242 Cannon House Office Building,http://clyburn.house.gov/rss.xml,43826,,Democrat,C000537,1940-07-21,21607.0,James,male,Male,400075,Clyburn,https://www.govtrack.us/congress/members/james_clyburn/400075,E.,Rep. James “Jim” Clyburn [D-SC6],,Jim,N00002408,27066.0,"Clyburn, James “Jim” (Rep.) [D-SC6]",Clyburn,repjamesclyburn,202-225-3315,representative,Representative,,,,,2017-01-03,SC,Rep.,Representative,http://clyburn.house.gov
101,,[115],True,Representative for Oklahoma's 4th congressional district,4.0,2019-01-03,2467 Rayburn HOB; Washington DC 20515-3604,,,,2467 Rayburn House Office Building,http://cole.house.gov/rss.xml,43827,,Republican,C001053,1949-04-28,1003609.0,Tom,male,Male,400077,Cole,https://www.govtrack.us/congress/members/tom_cole/400077,,Rep. Tom Cole [R-OK4],,,N00025726,46034.0,"Cole, Tom (Rep.) [R-OK4]",TomColeOK04,reptomcole,202-225-6165,representative,Representative,,,,,2017-01-03,OK,Rep.,Representative,https://cole.house.gov
102,,[115],True,Representative for Michigan's 13th congressional district,13.0,2019-01-03,2426 Rayburn HOB; Washington DC 20515-2213,,,,2426 Rayburn House Office Building,http://conyers.house.gov/index.cfm/rss/feed,43828,,Democrat,C000714,1929-05-16,1824.0,John,male,Male,400080,Conyers,https://www.govtrack.us/congress/members/john_conyers/400080,,Rep. John Conyers [D-MI13],Jr.,,N00004029,26904.0,"Conyers, John (Rep.) [D-MI13]",RepJohnConyers,JCMI14,202-225-5126,representative,Representative,,,,,2017-01-03,MI,Rep.,Representative,https://conyers.house.gov
103,,[115],True,Representative for Tennessee's 5th congressional district,5.0,2019-01-03,1536 Longworth HOB; Washington DC 20515-4205,,,,1536 Longworth House Office Building,http://cooper.house.gov/index.php?format=feed&amp;type=rss,43829,,Democrat,C000754,1954-06-19,1201.0,Jim,male,Male,400081,Cooper,https://www.govtrack.us/congress/members/jim_cooper/400081,,Rep. Jim Cooper [D-TN5],,,N00003132,48891.0,"Cooper, Jim (Rep.) [D-TN5]",RepJimCooper,RepJimCooper,202-225-4311,representative,Representative,,,,,2017-01-03,TN,Rep.,Representative,http://cooper.house.gov
104,,[115],True,Representative for New York's 14th congressional district,14.0,2019-01-03,1035 Longworth HOB; Washington DC 20515-3214,,,,1035 Longworth House Office Building,http://crowley.house.gov/rss.xml,43830,,Democrat,C001038,1962-03-16,57880.0,Joseph,male,Male,400087,Crowley,https://www.govtrack.us/congress/members/joseph_crowley/400087,,Rep. Joseph “Joe” Crowley [D-NY14],,Joe,N00001127,4295.0,"Crowley, Joseph “Joe” (Rep.) [D-NY14]",RepJoeCrowley,RepJoeCrowley,202-225-3965,representative,Representative,,,,,2017-01-03,NY,Rep.,Representative,http://crowley.house.gov
105,,[115],True,Representative for Texas's 7th congressional district,7.0,2019-01-03,2161 Rayburn HOB; Washington DC 20515-4307,,,,2161 Rayburn House Office Building,http://culberson.house.gov/rss/,43831,,Republican,C001048,1956-08-24,88078.0,John,male,Male,400089,Culberson,https://www.govtrack.us/congress/members/john_culberson/400089,Abney,Rep. John Culberson [R-TX7],,,N00009738,5488.0,"Culberson, John (Rep.) [R-TX7]",CongCulberson,johnculbersontx07,202-225-2571,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,http://culberson.house.gov
106,,[115],True,Representative for Maryland's 7th congressional district,7.0,2019-01-03,2163 Rayburn HOB; Washington DC 20515-2007,,,,2163 Rayburn House Office Building,http://cummings.house.gov/rss.xml,43832,,Democrat,C000984,1951-01-18,43300.0,Elijah,male,Male,400090,Cummings,https://www.govtrack.us/congress/members/elijah_cummings/400090,E.,Rep. Elijah Cummings [D-MD7],,,N00001971,345.0,"Cummings, Elijah (Rep.) [D-MD7]",RepCummings,ElijahECummings,202-225-4741,representative,Representative,,,,,2017-01-03,MD,Rep.,Representative,https://cummings.house.gov
107,,[115],True,Representative for Illinois's 7th congressional district,7.0,2019-01-03,2159 Rayburn HOB; Washington DC 20515-1307,,,,2159 Rayburn House Office Building,http://davis.house.gov/index.php?format=feed&type=rss,43833,,Democrat,D000096,1941-09-06,44325.0,Danny,male,Male,400093,Davis,https://www.govtrack.us/congress/members/danny_davis/400093,K.,Rep. Danny Davis [D-IL7],,,N00004884,233.0,"Davis, Danny (Rep.) [D-IL7]",RepDannyDavis,dannykdavis07,202-225-5006,representative,Representative,,,,,2017-01-03,IL,Rep.,Representative,https://davis.house.gov
108,,[115],True,Representative for California's 53rd congressional district,53.0,2019-01-03,1214 Longworth HOB; Washington DC 20515-0553,,,,1214 Longworth House Office Building,,43834,,Democrat,D000598,1944-04-13,85595.0,Susan,female,Female,400097,Davis,https://www.govtrack.us/congress/members/susan_davis/400097,A.,Rep. Susan Davis [D-CA53],,,N00009604,8168.0,"Davis, Susan (Rep.) [D-CA53]",RepSusanDavis,,202-225-2040,representative,Representative,,,,,2017-01-03,CA,Rep.,Representative,https://susandavis.house.gov
109,,[115],True,Representative for Oregon's 4th congressional district,4.0,2019-01-03,2134 Rayburn HOB; Washington DC 20515-3704,,,,2134 Rayburn House Office Building,http://www.defazio.house.gov/index.php?format=feed&amp;type=rss,43835,,Democrat,D000191,1947-05-27,6068.0,Peter,male,Male,400100,DeFazio,https://www.govtrack.us/congress/members/peter_defazio/400100,A.,Rep. Peter DeFazio [D-OR4],,,N00007781,27037.0,"DeFazio, Peter (Rep.) [D-OR4]",RepPeterDeFazio,PeterDeFazio,202-225-6416,representative,Representative,,,,,2017-01-03,OR,Rep.,Representative,http://defazio.house.gov
110,,[115],True,Representative for Colorado's 1st congressional district,1.0,2019-01-03,2111 Rayburn HOB; Washington DC 20515-0601,,,,2111 Rayburn House Office Building,http://degette.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,43836,,Democrat,D000197,1957-07-29,90293.0,Diana,female,Female,400101,DeGette,https://www.govtrack.us/congress/members/diana_degette/400101,L.,Rep. Diana DeGette [D-CO1],,,N00006134,561.0,"DeGette, Diana (Rep.) [D-CO1]",RepDianaDeGette,RepDianaDeGette,202-225-4431,representative,Representative,,,,,2017-01-03,CO,Rep.,Representative,http://degette.house.gov
111,,[115],True,Representative for Connecticut's 3rd congressional district,3.0,2019-01-03,2413 Rayburn HOB; Washington DC 20515-0703,,,,2413 Rayburn House Office Building,http://delauro.house.gov/index.php?format=feed&amp;type=rss,43837,,Democrat,D000216,1943-03-02,19040.0,Rosa,female,Female,400103,DeLauro,https://www.govtrack.us/congress/members/rosa_delauro/400103,L.,Rep. Rosa DeLauro [D-CT3],,,N00000615,26788.0,"DeLauro, Rosa (Rep.) [D-CT3]",RosaDeLauro,rosadelauro,202-225-3661,representative,Representative,,,,,2017-01-03,CT,Rep.,Representative,https://delauro.house.gov
112,,[115],True,Representative for Florida's 25th congressional district,25.0,2019-01-03,440 Cannon HOB; Washington DC 20515-0925,,,,440 Cannon House Office Building,http://mariodiazbalart.house.gov/rss.xml,43838,,Republican,D000600,1961-09-25,1003562.0,Mario,male,Male,400108,Diaz-Balart,https://www.govtrack.us/congress/members/mario_diaz_balart/400108,,Rep. Mario Diaz-Balart [R-FL25],,,N00025337,24312.0,"Diaz-Balart, Mario (Rep.) [R-FL25]",MarioDB,MarioDiazBalart,202-225-4211,representative,Representative,,,,,2017-01-03,FL,Rep.,Representative,http://mariodiazbalart.house.gov
113,,[115],True,Representative for Texas's 35th congressional district,35.0,2019-01-03,2307 Rayburn HOB; Washington DC 20515-4335,,,,2307 Rayburn House Office Building,http://doggett.house.gov/index.php/component/ninjarsssyndicator/?feed_id=1&amp;format=raw,43839,,Democrat,D000399,1946-10-06,36810.0,Lloyd,male,Male,400111,Doggett,https://www.govtrack.us/congress/members/lloyd_doggett/400111,A.,Rep. Lloyd Doggett [D-TX35],,,N00006023,21689.0,"Doggett, Lloyd (Rep.) [D-TX35]",RepLloydDoggett,doggett,202-225-4865,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,https://doggett.house.gov
114,,[115],True,Representative for Pennsylvania's 14th congressional district,14.0,2019-01-03,239 Cannon HOB; Washington DC 20515-3814,,,,239 Cannon House Office Building,http://doyle.house.gov/rss.xml,43840,,Democrat,D000482,1953-08-05,36774.0,Michael,male,Male,400114,Doyle,https://www.govtrack.us/congress/members/michael_doyle/400114,F.,Rep. Michael “Mike” Doyle [D-PA14],Jr.,Mike,N00001373,21853.0,"Doyle, Michael “Mike” (Rep.) [D-PA14]",USRepMikeDoyle,CongressmanDoyle,202-225-2135,representative,Representative,,,,,2017-01-03,PA,Rep.,Representative,http://doyle.house.gov
115,,[115],True,Representative for Tennessee's 2nd congressional district,2.0,2019-01-03,2207 Rayburn HOB; Washington DC 20515-4202,,,,2207 Rayburn House Office Building,http://duncan.house.gov/rss.xml,43841,,Republican,D000533,1947-07-21,6114.0,John,male,Male,400116,Duncan,https://www.govtrack.us/congress/members/john_duncan/400116,J.,Rep. John “Jimmy” Duncan [R-TN2],Jr.,Jimmy,N00003209,27069.0,"Duncan, John “Jimmy” (Rep.) [R-TN2]",RepJohnDuncanJr,RepJohnDuncan,202-225-5435,representative,Representative,,,,,2017-01-03,TN,Rep.,Representative,http://duncan.house.gov
116,,[115],True,Representative for New York's 16th congressional district,16.0,2019-01-03,2462 Rayburn HOB; Washington DC 20515-3216,,,,2462 Rayburn House Office Building,,43842,,Democrat,E000179,1947-02-18,6109.0,Eliot,male,Male,400122,Engel,https://www.govtrack.us/congress/members/eliot_engel/400122,L.,Rep. Eliot Engel [D-NY16],,,N00001003,26972.0,"Engel, Eliot (Rep.) [D-NY16]",RepEliotEngel,engel2161,202-225-2464,representative,Representative,,,,,2017-01-03,NY,Rep.,Representative,https://engel.house.gov
117,,[115],True,Representative for California's 18th congressional district,18.0,2019-01-03,241 Cannon HOB; Washington DC 20515-0518,,,,241 Cannon House Office Building,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,43843,,Democrat,E000215,1942-12-13,26130.0,Anna,female,Female,400124,Eshoo,https://www.govtrack.us/congress/members/anna_eshoo/400124,G.,Rep. Anna Eshoo [D-CA18],,,N00007335,26741.0,"Eshoo, Anna (Rep.) [D-CA18]",RepAnnaEshoo,RepAnnaEshoo,202-225-8104,representative,Representative,,,,,2017-01-03,CA,Rep.,Representative,http://eshoo.house.gov
118,,[115],True,Representative for Arizona's 8th congressional district,8.0,2019-01-03,2435 Rayburn HOB; Washington DC 20515-0308,,,,2435 Rayburn House Office Building,http://franks.house.gov/rss.xml,43844,,Republican,F000448,1957-06-19,1003550.0,Trent,male,Male,400141,Franks,https://www.govtrack.us/congress/members/trent_franks/400141,,Rep. Trent Franks [R-AZ8],,,N00006423,28399.0,"Franks, Trent (Rep.) [R-AZ8]",RepTrentFranks,,202-225-4576,representative,Representative,,,,,2017-01-03,AZ,Rep.,Representative,https://franks.house.gov
119,,[115],True,Representative for New Jersey's 11th congressional district,11.0,2019-01-03,2306 Rayburn HOB; Washington DC 20515-3011,,,,2306 Rayburn House Office Building,http://frelinghuysen.house.gov/common/rss/?rss=3,43845,,Republican,F000372,1946-04-29,37781.0,Rodney,male,Male,400142,Frelinghuysen,https://www.govtrack.us/congress/members/rodney_frelinghuysen/400142,P.,Rep. Rodney Frelinghuysen [R-NJ11],,,N00000684,22177.0,"Frelinghuysen, Rodney (Rep.) [R-NJ11]",USRepRodney,RepFrelinghuysen,202-225-5034,representative,Representative,,,,,2017-01-03,NJ,Rep.,Representative,https://frelinghuysen.house.gov
120,,[115],True,Representative for Virginia's 6th congressional district,6.0,2019-01-03,2309 Rayburn HOB; Washington DC 20515-4606,,,,2309 Rayburn House Office Building,http://goodlatte.house.gov/press_releases.rss,43846,,Republican,G000289,1952-09-22,27025.0,Bob,male,Male,400154,Goodlatte,https://www.govtrack.us/congress/members/bob_goodlatte/400154,W.,Rep. Bob Goodlatte [R-VA6],,,N00009154,27116.0,"Goodlatte, Bob (Rep.) [R-VA6]",RepGoodlatte,RepBobGoodlatte,202-225-5431,representative,Representative,,,,,2017-01-03,VA,Rep.,Representative,https://goodlatte.house.gov
121,,[115],True,Representative for Texas's 12th congressional district,12.0,2019-01-03,1026 Longworth HOB; Washington DC 20515-4312,,,,1026 Longworth House Office Building,http://kaygranger.house.gov/rss.xml,43847,,Republican,G000377,1943-01-18,45709.0,Kay,female,Female,400157,Granger,https://www.govtrack.us/congress/members/kay_granger/400157,,Rep. Kay Granger [R-TX12],,,N00008799,334.0,"Granger, Kay (Rep.) [R-TX12]",RepKayGranger,RepKayGranger,202-225-5071,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,http://kaygranger.house.gov
122,,[115],True,Representative for Missouri's 6th congressional district,6.0,2019-01-03,1135 Longworth HOB; Washington DC 20515-2506,,,,1135 Longworth House Office Building,http://graves.house.gov/common/rss/index.cfm?rss=25,43848,,Republican,G000546,1963-11-07,89873.0,Sam,male,Male,400158,Graves,https://www.govtrack.us/congress/members/sam_graves/400158,B.,Rep. Sam Graves [R-MO6],,,N00013323,9425.0,"Graves, Sam (Rep.) [R-MO6]",RepSamGraves,,202-225-7041,representative,Representative,,,,,2017-01-03,MO,Rep.,Representative,https://graves.house.gov
123,,[115],True,Representative for Texas's 29th congressional district,29.0,2019-01-03,2470 Rayburn HOB; Washington DC 20515-4329,,,,2470 Rayburn House Office Building,http://green.house.gov/rss.xml,43849,,Democrat,G000410,1947-10-17,26156.0,Gene,male,Male,400160,Green,https://www.govtrack.us/congress/members/gene_green/400160,Eugene,Rep. Gene Green [D-TX29],,,N00005870,27100.0,"Green, Gene (Rep.) [D-TX29]",RepGeneGreen,RepGeneGreen,202-225-1688,representative,Representative,,,,,2017-01-03,TX,Rep.,Representative,https://green.house.gov
124,,[115],True,Representative for Arizona's 3rd congressional district,3.0,2019-01-03,1511 Longworth HOB; Washington DC 20515-0303,,,,1511 Longworth House Office Building,http://grijalva.house.gov/common/rss/?rss=13,43850,,Democrat,G000551,1948-02-19,1003551.0,Raúl,male,Male,400162,Grijalva,https://www.govtrack.us/congress/members/raul_grijalva/400162,M.,Rep. Raúl Grijalva [D-AZ3],,,N00025284,28253.0,"Grijalva, Raúl (Rep.) [D-AZ3]",RepraulGrijalva,raulgrijalvaaz07,202-225-2435,representative,Representative,,,,,2017-01-03,AZ,Rep.,Representative,https://grijalva.house.gov
125,,[115],True,Representative for Illinois's 4th congressional district,4.0,2019-01-03,2408 Rayburn HOB; Washington DC 20515-1304,,,,2408 Rayburn House Office Building,http://gutierrez.house.gov/rss.xml,43851,,Democrat,G000535,1953-12-10,23476.0,Luis,male,Male,400163,Gutiérrez,https://www.govtrack.us/congress/members/luis_gutierrez/400163,V.,Rep. Luis Gutiérrez [D-IL4],,,N00004874,26841.0,"Gutiérrez, Luis (Rep.) [D-IL4]",LuisGutierrez,repluisgutierrez,202-225-8203,representative,Representative,,,,,2017-01-03,IL,Rep.,Representative,https://gutierrez.house.gov
126,,[115],True,Representative for Florida's 20th congressional district,20.0,2019-01-03,2353 Rayburn HOB; Washington DC 20515-0920,,,,2353 Rayburn House Office Building,http://www.alceehastings.house.gov/news/rss.aspx,43852,,Democrat,H000324,1936-09-05,1858.0,Alcee,male,Male,400170,Hastings,https://www.govtrack.us/congress/members/alcee_hastings/400170,L.,Rep. Alcee Hastings [D-FL20],,,N00002884,26798.0,"Hastings, Alcee (Rep.) [D-FL20]",RepHastingsFL,RepAlceeHastings,202-225-1313,representative,Representative,,,,,2017-01-03,FL,Rep.,Representative,http://alceehastings.house.gov
